stein_lam_abs,_timestamp,corrector_loss,_step,energy_w2,stein_var_ratio,_runtime,adjoint_buffer_size,stein_score_loss,dist_w2,adjoint_loss,stein_bias_z,eq_w2,stein_active,stein_tau_mean,corrector_buffer_size
9.827116966247559,1790075286.7563844,,2157,,0.8156697154045105,9052.773024848,10000.0,-75.51890563964844,,1.3776510953903198,2.699594251929106,,1.0,0.9279605150222778,
9.990633964538574,1790075290.771704,,2158,,0.8143231868743896,9056.922104711,10000.0,-75.95460510253906,,1.4080032110214233,2.4028685531539486,,1.0,0.928088903427124,
10.123281478881836,1790075294.9208157,,2159,,0.820871114730835,9060.927780626,10000.0,-76.1375961303711,,1.4481549263000488,2.2715552152374623,,1.0,0.927951991558075,
10.040604591369629,1790075298.9264874,,2160,,0.8180481791496277,9064.944672789,10000.0,-76.63041687011719,,1.3931728601455688,2.969825907988799,,1.0,0.9271466135978699,
10.033951759338379,1790075302.9433641,,2161,,0.8182532787322998,9068.955723522,10000.0,-77.18817138671875,,1.367642879486084,2.3070039298628657,,1.0,0.9263149499893188,
10.050050735473633,1790075306.954298,,2162,,0.8163561820983887,9072.95992842,10000.0,-77.05514526367188,,1.3712096214294434,3.0566371462432476,,1.0,0.9276766180992126,
10.144686698913574,1790075310.9586108,,2163,,0.8185996413230896,9076.982463274,10000.0,-76.78558349609375,,1.3592538833618164,2.7212395726337357,,1.0,0.9281370043754578,
9.743940353393555,1790075314.9811673,,2164,,0.8159936666488647,9081.003433533,10000.0,-76.95989990234375,,1.3455755710601807,3.084688610742111,,1.0,0.929023802280426,
9.764251708984375,1790075319.002074,,2165,,0.8148500919342041,9085.022470786,10000.0,-76.3595199584961,,1.3945006132125854,1.8847668115409966,,1.0,0.9259204864501953,
9.981934547424316,1790075323.021128,,2166,,0.8137045502662659,9089.153653592,10000.0,-76.78347778320312,,1.3573516607284546,2.6440322306336395,,1.0,0.9275109171867371,
9.783931732177734,1790075327.1523154,,2167,,0.8161256313323975,9093.161120628,10000.0,-77.5712890625,,1.3610130548477173,2.510018827968011,,1.0,0.9283185601234436,
9.543071746826172,1790075331.159848,,2168,,0.8201383948326111,9097.177974958,10000.0,-77.53445434570312,,1.4028778076171875,3.262190159082928,,1.0,0.927263081073761,
9.698083877563477,1790075335.1765895,,2169,,0.8175731897354126,9101.182798428,10000.0,-77.98766326904297,,1.3760044574737549,1.8650760760930398,,1.0,0.9271737933158875,
9.742295265197754,1790075339.1814888,,2170,,0.8168289065361023,9105.172482822,10000.0,-77.46900177001953,,1.3922351598739624,2.575469986635041,,1.0,0.9288989901542664,
9.463661193847656,1790075343.1711566,,2171,,0.8159440755844116,9109.161930868,10000.0,-78.04364013671875,,1.3674181699752808,2.5035373815519693,,1.0,0.9268457889556885,
9.660656929016113,1790075347.160629,,2172,,0.818041205406189,9113.156330468,10000.0,-78.44990539550781,,1.3590754270553589,2.8282145588093917,,1.0,0.9278382658958435,
9.641861915588379,1790075351.154996,,2173,,0.8160395622253418,9117.321632531,10000.0,-77.56330871582031,,1.3691424131393433,3.10590715369313,,1.0,0.9275898933410645,
9.306867599487305,1790075355.3202753,,2174,,0.8162024617195129,9121.30579686,10000.0,-77.89929962158203,,1.3918468952178955,2.6937874325394278,,1.0,0.9276411533355713,
9.199973106384277,1790075359.3044648,,2175,,0.817226767539978,9125.302345586,10000.0,-77.20263671875,,1.3698420524597168,2.297988615828976,,1.0,0.9287218451499939,
9.282994270324707,1790075363.301037,,2176,,0.8196994066238403,9129.303077137,10000.0,-77.68390655517578,,1.364689826965332,2.5064971860242147,,1.0,0.9285523295402527,
9.297325134277344,1790075367.3017604,,2177,,0.8165411353111267,9133.315190704,10000.0,-77.82259368896484,,1.3791850805282593,2.4971731772919123,,1.0,0.9281316995620728,
9.180770874023438,1790075371.3138442,,2178,,0.8132550120353699,9137.342946349,10000.0,-77.33078002929688,,1.4084302186965942,2.668789921884378,,1.0,0.9261659383773804,
9.286674499511719,1790075454.4578888,,2179,0.1913679341705943,0.8177395462989807,9218.1845839,10000.0,-78.1590805053711,0.013922179720122638,1.373976230621338,2.457825058554343,0.43704909086227417,1.0,0.9285176992416382,
,1790075456.1832888,0.5650814771652222,2180,,,9219.689089604,,,,,,,,,10000.0
,1790075457.6878731,0.5611093640327454,2181,,,9221.196027465,,,,,,,,,10000.0
,1790075459.1946392,0.5617470145225525,2182,,,9222.713237849,,,,,,,,,10000.0
,1790075460.7119532,0.5632908344268799,2183,,,9224.22408912,,,,,,,,,10000.0
,1790075462.2228744,0.5623217225074768,2184,,,9225.733522149,,,,,,,,,10000.0
,1790075463.732261,0.5599446296691895,2185,,,9227.226420169,,,,,,,,,10000.0
,1790075465.2251477,0.5533950924873352,2186,,,9228.744386967,,,,,,,,,10000.0
,1790075466.7431755,0.5558668375015259,2187,,,9230.243473673,,,,,,,,,10000.0
,1790075468.2422547,0.5531043410301208,2188,,,9231.756145361,,,,,,,,,10000.0
,1790075469.7548645,0.5521060824394226,2189,,,9233.256010367,,,,,,,,,10000.0
,1790075471.2547965,0.5511103272438049,2190,,,9234.888723316,,,,,,,,,10000.0
,1790075472.8874376,0.5511970520019531,2191,,,9236.390920054,,,,,,,,,10000.0
,1790075474.3895924,0.5521287322044373,2192,,,9237.89495252,,,,,,,,,10000.0
,1790075475.8937116,0.5493171215057373,2193,,,9239.404984433,,,,,,,,,10000.0
,1790075477.4037645,0.5479942560195923,2194,,,9240.905807913,,,,,,,,,10000.0
,1790075478.9045377,0.5496764779090881,2195,,,9242.561770463,,,,,,,,,10000.0
,1790075480.5605211,0.5462445020675659,2196,,,9244.066491115,,,,,,,,,10000.0
,1790075482.065244,0.5454768538475037,2197,,,9245.567088028,,,,,,,,,10000.0
,1790075483.565892,0.5446162223815918,2198,,,9247.081219504,,,,,,,,,10000.0
,1790075485.0799775,0.5451846122741699,2199,,,9251.085867006,,,,,,,,,10000.0
9.222916603088379,1790075489.084503,,2200,,0.8153091669082642,9255.108804395,10000.0,-78.2240219116211,,1.3752092123031616,2.533191341121136,,1.0,0.927986204624176,
9.379430770874023,1790075493.1074588,,2201,,0.8140160441398621,9259.092174167,10000.0,-77.49734497070312,,1.394445538520813,2.124198298974729,,1.0,0.9267131686210632,
9.314508438110352,1790075497.0908647,,2202,,0.8108049631118774,9263.105952911,10000.0,-78.37628173828125,,1.3891409635543823,2.740526704872005,,1.0,0.9265268445014954,
